,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2019-12-04-21-wyoming,65.6,21,4.0,1,114.9,85.2,23,0.675,60,0.533,32,0.183,11,0.455,5,5,200,128.4,24.1,7,12,86,,10.4,7,0.5,30,0.567,17,53.6,30,0.659,13.4,10,30,0.5,15,0.444,4,"December 4, 2019",55.2,16,10.0,3,128.4,75.9,22,0.643,56,0.518,29,0.125,7,0.714,5,6,200,114.9,14.8,4,16,77,,9.0,6,0.554,31,0.452,14,46.4,26,0.649,15.7,11,25,0.6,15,0.333,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,67.3,Away,AIR-FORCE,Air Force
2019-12-07-14-air-force,50.0,15,10.0,3,111.8,87.9,29,0.689,53,0.566,30,0.604,32,0.844,27,3,200,131.6,20.0,5,26,100,,7.9,6,0.434,23,0.565,13,58.6,34,0.733,15.2,12,30,0.567,17,0.7,7,"December 7, 2019",32.0,8,6.7,2,131.6,80.0,20,0.536,55,0.455,25,0.618,34,0.765,26,6,200,111.8,12.1,4,23,85,,7.9,6,0.455,25,0.36,9,41.4,24,0.597,11.4,9,30,0.533,16,0.4,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,75.7,Away,NEVADA,Nevada
2019-12-14-15-denver,60.0,15,8.1,3,108.7,86.7,26,0.583,54,0.463,25,0.389,21,0.762,16,6,200,114.5,22.6,7,14,79,,4.3,3,0.5,27,0.481,13,54.1,33,0.617,15.9,12,27,0.444,12,0.455,5,"December 14, 2019",58.6,17,3.7,1,114.5,77.4,24,0.585,59,0.492,29,0.136,8,0.75,6,8,200,108.7,13.3,4,21,75,,4.3,3,0.373,22,0.5,11,45.9,28,0.597,15.0,11,37,0.486,18,0.333,4,"Magness Arena, Denver, Colorado",DENVER,Denver,69.4,Away,AIR-FORCE,Air Force
2019-12-17-21-air-force,66.7,10,2.7,1,143.5,64.7,11,0.345,58,0.259,15,0.138,8,0.25,2,0,200,60.9,14.6,6,22,42,,7.2,5,0.621,36,0.278,10,29.3,17,0.34,18.5,14,22,0.227,5,0.0,0,"December 17, 2019",62.5,20,22.7,5,60.9,85.4,35,0.716,51,0.627,32,0.588,30,0.867,26,6,200,143.5,35.3,6,11,99,,10.1,7,0.275,14,0.643,9,70.7,41,0.759,12.3,9,37,0.622,23,0.5,6,"Clune Arena , Colorado Springs, Colorado","Johnson &amp; Wales
			","Johnson &amp; Wales
			",69.0,Home,AIR-FORCE,Air Force
2019-12-21-14-air-force,64.5,20,15.4,4,123.1,75.0,15,0.636,59,0.525,31,0.237,14,0.714,10,3,200,130.8,39.3,11,19,85,,10.8,7,0.475,28,0.464,13,54.2,26,0.647,14.4,11,31,0.581,18,0.769,10,"December 21, 2019",55.6,15,9.7,3,130.8,60.7,17,0.684,49,0.551,27,0.306,15,0.867,13,7,200,123.1,25.0,5,17,80,,6.2,4,0.469,23,0.565,13,45.8,22,0.713,20.1,14,26,0.538,14,0.462,6,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,65.4,Away,DRAKE,Drake
2019-11-05-19-akron,20.0,5,10.8,4,108.0,68.6,24,0.429,63,0.397,25,0.206,13,0.769,10,0,200,85.3,27.3,9,12,64,,8.0,6,0.286,18,0.222,4,48.5,33,0.463,16.9,14,45,0.467,21,0.0,0,"November 5, 2019",53.3,16,11.1,5,85.3,72.7,24,0.5,71,0.423,30,0.169,12,0.833,10,0,200,108.0,31.4,11,13,81,,6.7,5,0.479,34,0.324,11,51.5,35,0.528,12.6,11,37,0.514,19,1.0,1,"James A. Rhodes Arena, Akron, Ohio","Malone
			","Malone
			",75.4,Home,AKRON,Akron
2019-11-08-19-west-virginia,54.2,13,4.2,2,111.9,74.3,26,0.468,62,0.387,24,0.5,31,0.839,26,1,200,100.0,26.3,10,28,84,,7.1,6,0.5,31,0.323,10,49.3,36,0.547,17.5,16,31,0.452,14,0.5,1,"November 8, 2019",58.6,17,16.1,5,100.0,73.7,28,0.516,61,0.475,29,0.656,40,0.775,31,0,200,111.9,25.7,9,23,94,,14.3,12,0.213,13,0.385,5,50.7,37,0.588,15.1,14,48,0.5,24,1.0,1,"WVU Coliseum, Morgantown, West Virginia",AKRON,Akron,83.9,Home,WEST-VIRGINIA,West Virginia
2019-11-15-19-akron,23.5,4,4.0,1,76.0,76.9,30,0.325,60,0.283,17,0.2,12,0.667,8,2,200,62.7,15.4,6,29,47,,8.0,6,0.3,18,0.278,5,46.2,36,0.358,20.7,17,42,0.286,12,0.333,1,"November 15, 2019",69.2,9,11.9,5,62.7,84.6,33,0.314,51,0.255,13,0.608,31,0.806,25,1,200,76.0,23.1,9,15,57,,4.0,3,0.51,26,0.231,6,53.8,42,0.434,20.8,17,25,0.28,7,0.667,2,"James A. Rhodes Arena, Akron, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,75.2,Home,AKRON,Akron
2019-11-18-19-akron,16.7,3,8.6,3,107.0,66.7,20,0.306,67,0.269,18,0.194,13,0.308,4,4,200,63.4,25.6,11,26,45,,2.8,2,0.239,16,0.313,5,42.5,31,0.307,11.0,9,51,0.255,13,0.2,1,"November 18, 2019",47.8,11,11.8,6,63.4,74.4,32,0.481,54,0.426,23,0.63,34,0.706,24,1,200,107.0,33.3,10,14,76,,5.6,4,0.352,19,0.316,6,57.5,42,0.542,13.8,11,35,0.486,17,0.75,3,"James A. Rhodes Arena, Akron, Ohio",SOUTH-CAROLINA-UPSTATE,USC Upstate,71.2,Home,AKRON,Akron
2019-11-21-19-akron,31.8,7,9.4,3,109.3,78.8,26,0.353,68,0.324,22,0.309,21,0.571,12,3,200,80.0,32.6,14,19,60,,9.3,7,0.279,19,0.211,4,52.6,40,0.385,13.4,12,49,0.367,18,0.4,2,"November 21, 2019",45.2,14,8.2,4,80.0,67.4,29,0.586,64,0.484,31,0.188,12,0.583,7,1,200,109.3,21.2,7,20,82,,6.7,5,0.5,32,0.406,13,47.4,36,0.588,14.8,12,32,0.563,18,0.8,4,"James A. Rhodes Arena, Akron, Ohio",YOUNGSTOWN-STATE,Youngstown State,75.3,Home,AKRON,Akron
