,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2019-11-08-13-mercer,50.0,13,1.9,1,115.1,65.6,21,0.56,58,0.448,26,0.276,16,0.688,11,0,200,104.1,15.2,5,17,76,,5.5,4,0.534,31,0.419,13,40.0,26,0.579,14.5,11,27,0.481,13,0.0,0,"November 8, 2019",39.4,13,3.7,1,104.1,84.8,28,0.522,68,0.485,33,0.265,18,0.722,13,1,200,115.1,34.4,11,21,84,,8.2,6,0.235,16,0.313,5,60.0,39,0.549,9.5,8,52,0.538,28,0.5,1,"Hawkins Arena, Macon, Georgia","Columbia International
			","Columbia International
			",72.6,Home,MERCER,Mercer
2019-11-11-19-mercer,47.4,9,5.3,2,94.9,69.2,27,0.358,60,0.317,19,0.45,27,0.704,19,3,200,79.5,30.0,12,22,62,,6.4,5,0.233,14,0.357,5,49.4,39,0.426,20.9,19,46,0.304,14,0.0,0,"November 11, 2019",72.7,16,13.0,6,79.5,70.0,28,0.433,60,0.367,22,0.45,27,0.815,22,1,200,94.9,30.8,12,24,74,,12.8,10,0.367,22,0.364,8,50.6,40,0.508,18.2,16,38,0.368,14,0.667,2,"Hawkins Arena, Macon, Georgia",KENNESAW-STATE,Kennesaw State,78.3,Home,MERCER,Mercer
2019-11-15-19-mercer,59.1,13,8.9,4,107.7,69.6,16,0.447,57,0.386,22,0.386,22,0.773,17,4,200,87.2,24.3,9,16,68,,12.8,10,0.368,21,0.333,7,41.7,25,0.504,24.0,21,36,0.417,15,0.0,0,"November 15, 2019",46.9,15,8.3,3,87.2,75.7,28,0.583,60,0.533,32,0.25,15,0.933,14,1,200,107.7,30.4,7,19,84,,11.5,9,0.25,15,0.4,6,58.3,35,0.626,20.3,17,45,0.578,26,0.75,3,"Hawkins Arena, Macon, Georgia",FLORIDA-GULF-COAST,Florida Gulf Coast,78.3,Home,MERCER,Mercer
2019-11-19-19-georgia-southern,51.6,16,0.0,0,122.5,89.7,26,0.602,59,0.525,31,0.373,22,0.773,17,2,200,110.0,20.7,6,16,88,,10.0,8,0.305,18,0.5,9,55.2,32,0.634,18.9,16,41,0.537,22,0.6,3,"November 19, 2019",54.1,20,9.8,4,110.0,79.3,23,0.672,64,0.578,37,0.281,18,0.667,12,2,200,122.5,10.3,3,17,98,,15.0,12,0.453,29,0.414,12,44.8,26,0.675,13.3,11,35,0.714,25,0.6,3,"Hanner Fieldhouse, Statesboro, Georgia",MERCER,Mercer,80.0,Home,GEORGIA-SOUTHERN,Georgia Southern
2019-11-23-17-illinois-chicago,80.8,21,0.0,0,97.1,85.7,30,0.462,65,0.4,26,0.323,21,0.571,12,2,200,102.9,39.5,15,16,72,,11.4,8,0.338,22,0.364,8,61.6,45,0.48,12.9,11,43,0.419,18,0.667,4,"November 23, 2019",65.2,15,11.6,5,102.9,60.5,23,0.518,55,0.418,23,0.291,16,0.688,11,4,200,97.1,14.3,5,17,68,,10.0,7,0.6,33,0.333,11,38.4,28,0.543,16.2,12,22,0.545,12,0.333,2,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,70.3,Away,MERCER,Mercer
2019-11-26-19-st-bonaventure,55.0,11,11.1,4,90.3,71.9,23,0.442,52,0.385,20,0.212,11,0.455,5,3,200,82.3,21.9,7,18,51,,3.2,2,0.365,19,0.316,6,46.9,30,0.446,16.2,11,33,0.424,14,0.571,4,"November 26, 2019",61.1,11,12.1,4,82.3,78.1,25,0.385,52,0.346,18,0.365,19,0.842,16,4,200,90.3,28.1,9,14,56,,3.2,2,0.308,16,0.25,4,53.1,34,0.459,14.2,10,36,0.389,14,0.333,2,"Reilly Center, St. Bonaventure, New York",MERCER,Mercer,61.6,Home,ST-BONAVENTURE,St. Bonaventure
2019-12-01-12-canisius,54.2,13,2.4,1,108.6,62.1,18,0.449,59,0.407,24,0.339,20,0.65,13,4,200,94.3,32.3,10,19,66,,12.9,9,0.339,20,0.25,5,46.7,28,0.482,15.0,12,39,0.487,19,0.5,4,"December 1, 2019",58.6,17,5.1,2,94.3,67.7,21,0.535,57,0.509,29,0.351,20,0.75,15,2,200,108.6,37.9,11,20,76,,11.4,8,0.263,15,0.2,3,53.3,32,0.571,16.5,13,42,0.619,26,0.667,4,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,69.5,Home,CANISIUS,Canisius
2019-12-02-11-holy-cross,44.4,12,0.0,0,119.1,71.4,20,0.492,60,0.45,27,0.217,13,0.615,8,5,200,98.5,21.9,7,13,67,,5.9,4,0.317,19,0.263,5,45.0,27,0.506,13.2,10,41,0.537,22,0.444,4,"December 2, 2019",38.7,12,2.4,1,98.5,78.1,25,0.593,59,0.525,31,0.237,14,0.786,11,7,200,119.1,28.6,8,14,81,,5.9,4,0.39,23,0.348,8,55.0,33,0.617,13.3,10,36,0.639,23,0.125,1,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,68.4,Home,HOLY-CROSS,Holy Cross
2019-12-07-16-mercer,51.9,14,16.3,7,84.7,59.4,19,0.553,57,0.474,27,0.246,14,0.714,10,3,200,101.4,13.8,4,21,73,,11.1,8,0.316,18,0.5,9,37.7,23,0.573,14.8,11,39,0.462,18,0.667,6,"December 7, 2019",60.0,12,10.3,4,101.4,86.2,25,0.395,57,0.351,20,0.404,23,0.696,16,6,200,84.7,40.6,13,17,61,,9.7,7,0.246,14,0.357,5,62.3,38,0.449,21.1,18,43,0.349,15,0.4,4,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,71.8,Away,GEORGIA-STATE,Georgia State
2019-12-16-19-north-carolina-wilmington,69.2,18,2.5,1,90.0,69.2,27,0.492,64,0.406,26,0.172,11,0.818,9,6,200,102.9,36.1,13,20,72,,8.6,6,0.5,32,0.344,11,53.3,40,0.52,15.9,13,32,0.469,15,0.455,5,"December 16, 2019",58.3,14,6.3,2,102.9,63.9,23,0.457,58,0.414,24,0.414,24,0.417,10,7,200,90.0,30.8,12,16,63,,11.4,8,0.31,18,0.278,5,46.7,35,0.454,15.9,13,40,0.475,19,0.417,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,69.8,Away,MERCER,Mercer
2019-12-20-19-mercer,46.2,12,3.1,1,96.9,74.1,20,0.5,60,0.433,26,0.15,9,0.444,4,3,200,100.0,24.2,8,12,64,,10.9,7,0.417,25,0.32,8,46.7,28,0.498,12.3,9,35,0.514,18,0.786,11,"December 20, 2019",72.0,18,17.1,6,100.0,75.8,25,0.537,54,0.463,25,0.111,6,0.667,4,7,200,96.9,25.9,7,11,62,,6.3,4,0.407,22,0.364,8,53.3,32,0.545,17.5,12,32,0.531,17,0.417,5,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,63.6,Away,FURMAN,Furman
2019-12-22-18-mercer,61.9,13,5.6,2,76.9,73.5,25,0.49,50,0.42,21,0.46,23,0.696,16,4,200,100.0,50.0,16,17,65,,12.3,8,0.54,27,0.259,7,62.1,41,0.533,24.0,19,23,0.609,14,0.667,8,"December 22, 2019",52.6,10,4.3,1,100.0,50.0,16,0.387,53,0.358,19,0.226,12,0.75,9,8,200,76.9,26.5,9,23,50,,18.5,12,0.321,17,0.176,3,37.9,25,0.426,21.5,16,36,0.444,16,0.385,5,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,64.8,Away,FLORIDA-ATLANTIC,Florida Atlantic
2019-11-06-19-maine,36.4,8,3.1,1,125.4,57.1,12,0.391,64,0.344,22,0.266,17,0.824,14,1,200,95.5,35.9,14,22,64,,10.4,7,0.453,29,0.207,6,43.3,26,0.444,12.3,10,35,0.457,16,0.0,0,"November 6, 2019",75.0,21,17.1,6,95.5,64.1,25,0.62,50,0.56,28,0.54,27,0.815,22,0,200,125.4,42.9,9,15,84,,6.0,4,0.36,18,0.333,6,56.7,34,0.669,17.4,13,32,0.688,22,1.0,1,"Cross Insurance Center, Bangor, Maine",MERRIMACK,Merrimack,67.5,Home,MAINE,Maine
2019-11-08-20-northwestern,68.2,15,5.4,2,89.7,75.0,24,0.541,49,0.449,22,0.51,25,0.72,18,1,200,104.4,14.3,4,19,71,,13.2,9,0.592,29,0.31,9,46.7,28,0.583,14.3,10,20,0.65,13,0.5,1,"November 8, 2019",70.0,14,10.0,2,104.4,85.7,24,0.396,53,0.377,20,0.453,24,0.792,19,1,200,89.7,25.0,8,19,61,,1.5,1,0.302,16,0.125,2,53.3,32,0.474,17.0,13,37,0.486,18,0.0,0,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,68.1,Away,MERRIMACK,Merrimack
2019-11-15-16-dartmouth,47.1,8,10.3,3,90.2,63.3,19,0.396,53,0.321,17,0.094,5,0.8,4,2,200,75.4,6.1,2,14,46,,16.4,10,0.566,30,0.267,8,33.3,21,0.415,12.7,8,23,0.391,9,0.333,1,"November 15, 2019",60.0,12,8.7,2,75.4,93.9,31,0.479,48,0.417,20,0.333,16,0.563,9,0,200,90.2,36.7,11,10,55,,3.3,2,0.396,19,0.316,6,66.7,42,0.495,22.5,16,29,0.483,14,1.0,3,"Costello Athletic Center, Lowell, Massachusetts",MERRIMACK,Merrimack,61.0,Home,DARTMOUTH,Dartmouth
2019-11-16-16-massachusetts-lowell,52.2,12,2.7,1,93.5,60.0,15,0.442,60,0.383,23,0.183,11,0.636,7,2,200,96.8,35.9,14,17,60,,19.4,12,0.35,21,0.333,7,45.3,29,0.46,12.2,9,39,0.41,16,0.5,2,"November 16, 2019",60.9,14,7.7,3,96.8,64.1,25,0.51,48,0.479,23,0.292,14,0.643,9,4,200,93.5,40.0,10,14,58,,4.8,3,0.229,11,0.273,3,54.7,35,0.531,27.0,20,37,0.541,20,0.333,2,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,62.4,Away,MERRIMACK,Merrimack
2019-11-17-13-merrimack,58.8,10,17.4,4,91.5,88.0,22,0.394,47,0.362,17,0.213,10,0.7,7,3,200,74.6,35.7,10,10,44,,10.2,6,0.362,17,0.176,3,60.4,32,0.425,23.7,16,30,0.467,14,0.5,3,"November 17, 2019",66.7,12,6.7,2,74.6,64.3,18,0.489,47,0.383,18,0.213,10,0.8,8,2,200,91.5,12.0,3,11,54,,16.9,10,0.511,24,0.417,10,39.6,21,0.522,17.6,11,23,0.348,8,0.6,3,"Costello Athletic Center, Lowell, Massachusetts",JACKSONVILLE,Jacksonville,58.8,Home,MERRIMACK,Merrimack
2019-11-19-19-providence,75.0,15,0.0,0,125.7,73.3,22,0.472,53,0.377,20,0.208,11,0.545,6,3,200,75.7,8.8,3,23,56,,9.5,7,0.566,30,0.333,10,39.1,25,0.481,23.7,18,23,0.435,10,0.5,3,"November 19, 2019",73.3,22,17.4,4,75.7,91.2,31,0.618,55,0.545,30,0.673,37,0.676,25,1,200,125.7,26.7,8,12,93,,14.9,11,0.291,16,0.5,8,60.9,39,0.641,12.3,10,39,0.564,22,0.8,4,"Dunkin' Donuts Center, Providence, Rhode Island",MERRIMACK,Merrimack,73.9,Home,PROVIDENCE,Providence
2019-11-22-19-merrimack,80.0,4,3.4,1,142.9,76.5,26,0.13,50,0.1,5,0.14,7,0.429,3,0,200,20.8,29.3,12,12,16,,1.3,1,0.34,17,0.176,3,50.7,38,0.15,39.7,35,33,0.061,2,0.0,0,"November 22, 2019",75.0,30,33.3,11,20.8,70.7,29,0.658,76,0.526,40,0.145,11,0.909,10,3,200,142.9,23.5,8,9,110,,33.8,26,0.618,47,0.426,20,49.3,37,0.677,5.8,5,29,0.69,20,0.571,4,,"Lesley
			","Lesley
			",77.3,Home,MERRIMACK,Merrimack
2019-11-24-14-hartford,29.2,7,16.0,4,86.6,76.0,19,0.481,53,0.453,24,0.302,16,0.688,11,3,200,92.5,13.3,4,21,62,,14.9,10,0.358,19,0.158,3,41.8,23,0.512,15.5,11,34,0.618,21,0.625,5,"November 24, 2019",68.4,13,2.9,1,92.5,86.7,26,0.489,44,0.432,19,0.5,22,0.682,15,3,200,86.6,24.0,6,17,58,,7.5,5,0.432,19,0.263,5,58.2,32,0.533,25.1,18,25,0.56,14,0.571,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,67.0,Away,MERRIMACK,Merrimack
2019-11-29-19-akron,35.0,7,5.3,2,98.5,75.0,18,0.368,57,0.351,20,0.175,10,0.5,5,4,200,72.3,25.0,9,18,47,,12.3,8,0.351,20,0.1,2,45.0,27,0.381,16.3,12,37,0.486,18,0.556,5,"November 29, 2019",60.0,15,16.2,6,72.3,75.0,27,0.55,50,0.5,25,0.22,11,0.818,9,2,200,98.5,25.0,6,14,64,,10.8,7,0.24,12,0.417,5,55.0,33,0.579,22.6,16,38,0.526,20,0.714,5,"James A. Rhodes Arena, Akron, Ohio",MERRIMACK,Merrimack,65.0,Home,AKRON,Akron
2019-12-04-19-brown,34.8,8,10.0,4,113.9,45.5,15,0.425,60,0.383,23,0.1,6,0.667,4,5,200,76.4,13.9,5,23,55,,12.5,9,0.417,25,0.2,5,29.0,20,0.438,19.3,15,35,0.514,18,0.5,5,"December 4, 2019",69.0,20,22.9,8,76.4,86.1,31,0.532,63,0.46,29,0.333,21,0.714,15,3,200,113.9,54.5,18,15,82,,13.9,10,0.365,23,0.391,9,71.0,49,0.562,19.0,17,40,0.5,20,0.625,5,"Pizzitola Sports Center, Providence, Rhode Island",MERRIMACK,Merrimack,72.4,Home,BROWN,Brown
2019-12-11-19-merrimack,50.0,11,2.9,1,104.5,76.7,23,0.51,48,0.458,22,0.354,17,0.647,11,5,200,90.9,26.9,7,18,60,,4.5,3,0.354,17,0.294,5,53.6,30,0.535,22.4,16,31,0.548,17,0.444,4,"December 11, 2019",60.0,15,6.5,2,90.9,73.1,19,0.518,56,0.446,25,0.304,17,0.647,11,5,200,104.5,23.3,7,12,69,,12.1,8,0.393,22,0.364,8,46.4,26,0.538,13.6,10,34,0.5,17,0.545,6,,ARMY,Army,66.1,Home,MERRIMACK,Merrimack
2019-12-22-17-california-santa-barbara,55.6,10,2.6,1,103.0,69.2,18,0.404,52,0.346,18,0.212,11,0.727,8,6,200,75.8,23.3,7,17,50,,12.1,8,0.481,25,0.24,6,44.6,25,0.437,20.9,15,27,0.444,12,0.5,6,"December 22, 2019",84.0,21,11.1,3,75.8,76.7,23,0.54,50,0.5,25,0.38,19,0.737,14,4,200,103.0,30.8,8,15,68,,9.1,6,0.22,11,0.364,4,55.4,31,0.576,21.5,16,39,0.538,21,0.692,9,"The Thunderdome, Santa Barbara, California",MERRIMACK,Merrimack,66.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB
2019-11-05-18-miami-fl,41.2,14,8.9,4,102.8,71.8,28,0.611,63,0.54,34,0.222,14,0.714,10,0,200,120.8,34.5,10,17,87,5,11.1,8,0.302,19,0.474,9,55.9,38,0.625,14.8,12,44,0.568,25,1.0,1,"November 5, 2019",40.0,12,9.1,4,120.8,65.5,19,0.507,69,0.435,30,0.159,11,0.364,4,1,200,102.8,28.2,11,13,74,,8.3,6,0.348,24,0.417,10,44.1,30,0.498,11.9,10,45,0.444,20,0.0,0,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),72.4,Away,LOUISVILLE,Louisville
2019-11-08-19-miami-fl,47.8,11,14.6,7,105.7,76.5,26,0.394,66,0.348,23,0.182,12,0.667,8,1,200,85.7,39.5,15,14,60,,5.7,4,0.333,22,0.273,6,56.9,41,0.418,16.4,14,44,0.386,17,0.5,1,"November 8, 2019",43.3,13,6.8,3,85.7,60.5,23,0.492,66,0.455,30,0.212,14,0.643,9,1,200,105.7,23.5,8,10,74,,11.4,8,0.273,18,0.278,5,43.1,31,0.509,6.5,5,48,0.521,25,0.5,1,"BankUnited Center, Coral Gables, Florida",FLORIDA-ATLANTIC,Florida Atlantic,70.2,Home,MIAMI-FL,Miami (FL)
2019-11-12-21-central-florida,55.2,16,5.3,2,98.6,57.1,20,0.508,62,0.468,29,0.355,22,0.727,16,1,200,111.3,27.3,9,16,79,,9.9,7,0.323,20,0.25,5,42.6,29,0.545,11.2,9,42,0.571,24,0.667,2,"November 12, 2019",48.3,14,7.1,3,111.3,72.7,24,0.524,62,0.468,29,0.194,12,0.417,5,1,200,98.6,42.9,15,18,70,,5.6,4,0.387,24,0.292,7,57.4,39,0.517,20.2,17,38,0.579,22,0.5,1,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,71.1,Away,MIAMI-FL,Miami (FL)
2019-11-16-14-miami-fl,45.0,9,8.9,4,109.6,75.6,31,0.363,62,0.323,20,0.161,10,0.7,7,2,200,71.2,19.4,7,12,52,,4.1,3,0.468,29,0.172,5,49.4,38,0.39,15.3,12,33,0.455,15,0.0,0,"November 16, 2019",41.4,12,15.2,5,71.2,80.6,29,0.493,71,0.408,29,0.127,9,0.889,8,1,200,109.6,24.4,10,12,78,,8.2,6,0.366,26,0.462,12,50.6,39,0.531,9.6,8,45,0.378,17,0.75,3,"BankUnited Center, Coral Gables, Florida",QUINNIPIAC,Quinnipiac,72.5,Home,MIAMI-FL,Miami (FL)
2019-11-21-11-miami-fl,46.4,13,5.7,2,107.2,82.8,24,0.462,65,0.431,28,0.2,13,0.769,10,3,200,101.4,50.0,18,16,70,,2.9,2,0.231,15,0.267,4,64.6,42,0.492,18.5,16,50,0.48,24,0.4,2,"November 21, 2019",28.0,7,8.0,4,101.4,50.0,18,0.518,57,0.439,25,0.298,17,0.882,15,1,200,107.2,17.2,5,18,74,,8.7,6,0.386,22,0.409,9,35.4,23,0.569,12.2,9,35,0.457,16,0.8,4,"TD Arena, Charleston, South Carolina",MISSOURI-STATE,Missouri State,69.1,Home,MIAMI-FL,Miami (FL)
2019-11-22-12-florida,43.5,10,10.8,4,118.2,66.7,18,0.482,55,0.418,23,0.2,11,0.455,5,2,200,87.9,17.6,6,13,58,,9.1,6,0.345,19,0.368,7,39.3,24,0.482,19.0,14,36,0.444,16,0.667,4,"November 22, 2019",60.0,18,13.9,5,87.9,82.4,28,0.625,56,0.536,30,0.232,13,0.615,8,2,200,118.2,33.3,9,14,78,,12.1,8,0.339,19,0.526,10,60.7,37,0.627,15.1,11,37,0.541,20,0.667,4,"TD Arena, Charleston, South Carolina",MIAMI-FL,Miami (FL),66.2,Home,FLORIDA,Florida
2019-11-24-13-connecticut,52.0,13,9.8,4,129.0,64.3,18,0.5,54,0.463,25,0.037,2,0.5,1,3,200,88.7,14.8,4,14,55,,6.5,4,0.185,10,0.4,4,40.0,22,0.5,16.7,11,44,0.477,21,0.571,4,"November 24, 2019",53.1,17,20.5,9,88.7,85.2,23,0.592,60,0.533,32,0.2,12,0.75,9,2,200,129.0,35.7,10,10,80,,8.1,5,0.317,19,0.368,7,60.0,33,0.609,8.4,6,41,0.61,25,0.667,4,"TD Arena, Charleston, South Carolina",MIAMI-FL,Miami (FL),61.8,Home,CONNECTICUT,UConn
2019-12-02-19-illinois,28.1,9,5.6,2,116.2,68.0,17,0.685,54,0.593,32,0.241,13,0.538,7,3,200,119.1,15.4,4,21,81,,10.3,7,0.333,18,0.556,10,41.2,21,0.673,14.3,10,36,0.611,22,0.625,5,"December 2, 2019",57.1,16,11.1,4,119.1,84.6,22,0.585,53,0.528,28,0.434,23,0.739,17,2,200,116.2,32.0,8,17,79,,5.9,4,0.321,17,0.353,6,58.8,30,0.618,17.1,13,36,0.611,22,0.75,6,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,67.6,Away,MIAMI-FL,Miami (FL)
2019-12-14-14-miami-fl,64.5,20,5.4,2,122.2,73.3,22,0.575,60,0.517,31,0.133,8,0.625,5,6,200,102.8,14.8,4,23,74,,6.9,5,0.35,21,0.333,7,45.6,26,0.58,14.8,11,39,0.615,24,0.25,2,"December 14, 2019",55.2,16,17.9,7,102.8,85.2,23,0.589,56,0.518,29,0.536,30,0.733,22,3,200,122.2,26.7,8,12,88,,4.2,3,0.339,19,0.421,8,54.4,31,0.626,12.6,10,37,0.568,21,0.667,6,"BankUnited Center, Coral Gables, Florida",ALABAMA-AM,Alabama A&M,71.5,Home,MIAMI-FL,Miami (FL)
2019-12-17-21-temple,30.0,9,10.8,4,97.5,80.0,32,0.533,60,0.5,30,0.367,22,0.636,14,3,200,98.7,13.9,5,13,78,,11.4,9,0.3,18,0.222,4,48.7,37,0.554,13.6,11,42,0.619,26,0.7,7,"December 17, 2019",67.9,19,2.4,1,98.7,86.1,31,0.5,69,0.406,28,0.174,12,0.667,8,3,200,97.5,20.0,8,18,77,,8.9,7,0.464,32,0.406,13,51.3,39,0.515,15.9,14,37,0.405,15,0.7,7,"Barclays Center, Brooklyn, New York",TEMPLE,Temple,78.6,Away,MIAMI-FL,Miami (FL)
2019-12-21-14-miami-fl,55.0,11,5.9,1,118.2,83.3,20,0.356,66,0.303,20,0.288,19,0.684,13,9,200,77.9,26.7,12,14,60,,10.4,8,0.455,30,0.233,7,46.4,32,0.4,15.8,14,36,0.361,13,0.308,4,"December 21, 2019",57.1,16,16.7,6,77.9,73.3,33,0.673,55,0.509,28,0.364,20,0.85,17,3,200,118.2,16.7,4,13,91,,9.1,7,0.691,38,0.474,18,53.6,37,0.705,21.0,17,17,0.588,10,0.727,8,"BankUnited Center, Coral Gables, Florida",COPPIN-STATE,Coppin State,77.3,Home,MIAMI-FL,Miami (FL)
2019-11-09-14-miami-oh,22.9,8,9.8,4,101.3,81.1,30,0.507,75,0.467,35,0.267,20,0.6,12,0,200,110.0,40.5,17,18,88,,10.0,8,0.24,18,0.333,6,59.5,47,0.521,13.4,13,57,0.509,29,1.0,2,"November 9, 2019",40.0,12,14.0,8,110.0,59.5,25,0.538,65,0.462,30,0.231,15,0.733,11,1,200,101.3,18.9,7,23,81,,7.5,6,0.369,24,0.417,10,40.5,32,0.562,16.4,14,41,0.488,20,0.0,0,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),79.8,Away,WRIGHT-STATE,Wright State
2019-11-13-19-ipfw,51.6,16,10.7,3,106.7,73.1,19,0.547,64,0.484,31,0.281,18,0.778,14,1,200,112.0,28.1,9,18,84,,9.3,7,0.406,26,0.308,8,48.3,28,0.579,14.3,12,38,0.605,23,0.5,1,"November 13, 2019",50.0,13,2.6,1,112.0,71.9,23,0.608,51,0.51,26,0.471,24,0.75,18,3,200,106.7,26.9,7,18,80,,5.3,4,0.451,23,0.435,10,51.7,30,0.641,23.6,19,28,0.571,16,0.25,1,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,75.0,Away,MIAMI-OH,Miami (OH)
2019-11-16-12-miami-oh,43.5,10,6.5,2,116.2,65.0,26,0.466,58,0.397,23,0.172,10,0.9,9,4,200,92.6,8.8,3,16,63,,5.9,4,0.379,22,0.364,8,39.2,29,0.502,12.6,9,36,0.417,15,0.0,0,"November 16, 2019",69.0,20,13.9,5,92.6,91.2,31,0.537,68,0.426,29,0.147,10,0.6,6,1,200,116.2,35.0,14,14,79,,7.4,5,0.544,37,0.405,15,60.8,45,0.543,11.1,9,31,0.452,14,0.667,2,"Millett Hall, Oxford, Ohio",ALABAMA-AM,Alabama A&M,68.3,Home,MIAMI-OH,Miami (OH)
2019-11-20-12-miami-oh,43.8,7,12.5,5,102.6,71.1,27,0.306,62,0.258,16,0.194,12,0.583,7,0,200,57.7,17.8,8,17,45,,9.0,7,0.419,26,0.231,6,42.2,35,0.332,20.2,17,36,0.278,10,0.0,0,"November 20, 2019",69.0,20,11.1,4,57.7,82.2,37,0.486,69,0.42,29,0.217,15,0.867,13,1,200,102.6,28.9,11,15,80,,12.8,10,0.42,29,0.31,9,57.8,48,0.525,16.6,15,40,0.5,20,0.75,3,"Millett Hall, Oxford, Ohio","Central State (OH)
			","Central State (OH)
			",78.4,Home,MIAMI-OH,Miami (OH)
2019-11-25-13-drake,17.4,4,9.1,3,78.7,70.7,29,0.51,51,0.451,23,0.412,21,0.714,15,1,200,89.3,14.3,4,20,67,,10.7,8,0.412,21,0.286,6,47.8,33,0.549,24.0,19,30,0.567,17,0.8,4,"November 25, 2019",57.9,11,6.7,2,89.3,85.7,24,0.426,54,0.352,19,0.463,25,0.52,13,2,200,78.7,29.3,12,23,59,,12.0,9,0.389,21,0.381,8,52.2,36,0.448,23.5,20,33,0.333,11,0.667,4,"Germain Arena, Estero, Florida",DRAKE,Drake,74.9,Away,MIAMI-OH,Miami (OH)
2019-11-26-17-south-alabama,34.6,9,0.0,0,124.2,68.2,15,0.544,57,0.456,26,0.175,10,0.9,9,2,200,107.6,14.3,4,20,71,,3.0,2,0.421,24,0.417,10,38.0,19,0.575,14.0,10,33,0.485,16,0.667,4,"November 26, 2019",29.0,9,12.1,4,107.6,85.7,24,0.654,52,0.596,31,0.404,21,0.667,14,2,200,124.2,31.8,7,11,82,,10.6,7,0.25,13,0.462,6,62.0,31,0.662,14.0,10,39,0.641,25,0.714,5,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),66.4,Home,SOUTH-ALABAMA,South Alabama
2019-11-27-17-wright-state,20.8,5,5.3,2,98.6,76.3,29,0.41,67,0.358,24,0.299,20,0.55,11,3,200,91.7,31.8,14,21,66,,2.8,2,0.388,26,0.269,7,52.4,43,0.431,12.7,11,41,0.415,17,0.571,4,"November 27, 2019",37.5,9,4.9,2,91.7,68.2,30,0.465,57,0.421,24,0.526,30,0.6,18,2,200,98.6,23.7,9,16,71,,6.9,5,0.333,19,0.263,5,47.6,39,0.498,10.2,8,38,0.5,19,0.75,6,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),71.9,Home,WRIGHT-STATE,Wright State
2019-12-03-19-miami-oh,42.9,12,0.0,0,78.3,74.4,29,0.563,56,0.5,28,0.393,22,0.591,13,3,200,110.1,28.1,9,18,76,,8.7,6,0.518,29,0.241,7,53.5,38,0.572,16.5,13,27,0.778,21,0.667,6,"December 3, 2019",55.6,10,3.7,1,110.1,71.9,23,0.364,55,0.327,18,0.291,16,0.875,14,4,200,78.3,25.6,10,20,54,,8.7,6,0.436,24,0.167,4,46.5,33,0.431,19.5,15,31,0.452,14,0.5,4,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),69.0,Away,NORTHERN-KENTUCKY,Northern Kentucky
